일시,구군,추정_일강수량(mm)
2016-03-09,북구,0.0
2016-03-09,서구,0.0
2016-03-09,수성구,0.0
2016-03-09,중구,0.0
2016-03-10,군위군,0.0
2016-03-10,남구,0.0
2016-03-10,달서구,0.0
2016-03-10,달성군,0.0
2016-03-10,동구,0.0
2016-03-10,북구,0.0
2016-03-10,서구,0.0
2016-03-10,수성구,0.0
2016-03-10,중구,0.0
2016-03-11,군위군,0.0
2016-03-11,남구,0.0
2016-03-11,달서구,0.0
2016-03-11,달성군,0.0
2016-03-11,동구,0.0
2016-03-11,북구,0.0
2016-03-11,서구,0.0
2016-03-11,수성구,0.0
2016-03-11,중구,0.0
2016-03-12,군위군,0.0
2016-03-12,남구,0.0
2016-03-12,달서구,0.0
2016-03-12,달성군,0.0
2016-03-12,동구,0.0
2016-03-12,북구,0.0
2016-03-12,서구,0.0
2016-03-12,수성구,0.0
2016-03-12,중구,0.0
2016-03-13,군위군,0.0
2016-03-13,남구,0.0
2016-03-13,달서구,0.0
2016-03-13,달성군,0.0
2016-03-13,동구,0.0
2016-03-13,북구,0.0
2016-03-13,서구,0.0
2016-03-13,수성구,0.0
2016-03-13,중구,0.0
2016-03-14,군위군,0.0
2016-03-14,남구,0.0
2016-03-14,달서구,0.0
2016-03-14,달성군,0.0
2016-03-14,동구,0.0
2016-03-14,북구,0.0
2016-03-14,서구,0.0
2016-03-14,수성구,0.0
2016-03-14,중구,0.0
2016-03-15,군위군,0.0
2016-03-15,남구,0.0
2016-03-15,달서구,0.0
2016-03-15,달성군,0.0
2016-03-15,동구,0.0
2016-03-15,북구,0.0
2016-03-15,서구,0.0
2016-03-15,수성구,0.0
2016-03-15,중구,0.0
2016-03-16,군위군,0.0
2016-03-16,남구,0.0
2016-03-16,달서구,0.0
2016-03-16,달성군,0.0
2016-03-16,동구,0.0
2016-03-16,북구,0.0
2016-03-16,서구,0.0
2016-03-16,수성구,0.0
2016-03-16,중구,0.0
2016-03-17,군위군,0.0
2016-03-17,남구,0.0
2016-03-17,달서구,0.0
2016-03-17,달성군,0.0
2016-03-17,동구,0.0
2016-03-17,북구,0.0
2016-03-17,서구,0.0
2016-03-17,수성구,0.0
2016-03-17,중구,0.0
2016-03-18,군위군,10.703979822927762
2016-03-18,남구,10.676129185746715
2016-03-18,달서구,11.34758383975113
2016-03-18,달성군,11.435639325346651
2016-03-18,동구,10.475103844724412
2016-03-18,북구,10.043257310509253
2016-03-18,서구,10.703667420560324
2016-03-18,수성구,10.488803900084198
2016-03-18,중구,10.443564694267629
2016-03-19,군위군,0.0
2016-03-19,남구,0.0
2016-03-19,달서구,0.0
2016-03-19,달성군,0.0
2016-03-19,동구,0.0
2016-03-19,북구,0.0
2016-03-19,서구,0.0
2016-03-19,수성구,0.0
2016-03-19,중구,0.0
2016-03-20,군위군,0.0
2016-03-20,남구,0.0
2016-03-20,달서구,0.0
2016-03-20,달성군,0.0
2016-03-20,동구,0.0
2016-03-20,북구,0.0
2016-03-20,서구,0.0
2016-03-20,수성구,0.0
2016-03-20,중구,0.0
2016-03-21,군위군,0.0
2016-03-21,남구,0.0
2016-03-21,달서구,0.0
2016-03-21,달성군,0.0
2016-03-21,동구,0.0
2016-03-21,북구,0.0
2016-03-21,서구,0.0
2016-03-21,수성구,0.0
2016-03-21,중구,0.0
2016-03-22,군위군,0.0
2016-03-22,남구,0.0
2016-03-22,달서구,0.0
2016-03-22,달성군,0.0
2016-03-22,동구,0.0
2016-03-22,북구,0.0
2016-03-22,서구,0.0
2016-03-22,수성구,0.0
2016-03-22,중구,0.0
2016-03-23,군위군,0.0
2016-03-23,남구,0.0
2016-03-23,달서구,0.0
2016-03-23,달성군,0.0
2016-03-23,동구,0.0
2016-03-23,북구,0.0
2016-03-23,서구,0.0
2016-03-23,수성구,0.0
2016-03-23,중구,0.0
2016-03-24,군위군,2.421160387002534
2016-03-24,남구,2.7430436529431557
2016-03-24,달서구,4.099239331020263
2016-03-24,달성군,2.202648146565208
2016-03-24,동구,2.4390122137613335
2016-03-24,북구,1.5832962775444122
2016-03-24,서구,2.8513574064033183
2016-03-24,수성구,2.43635677815834
2016-03-24,중구,2.3548378404646577
2016-03-25,군위군,5.726032783081095
2016-03-25,남구,6.084446475006714
